475.2,152.64 472.32,96.48
80.64,154.08 74.88,96.48
322.56,345.6 318.24,290.88
318.24,341.28 313.92,286.56
545.76,321.12 542.88,266.4
108,113.76 103.68,56.16
171.36,322.56 165.6,266.4
338.4,332.64 334.08,277.92
406.08,384.48 403.2,331.2
413.28,141.12 408.96,83.52
411.84,161.28 408.96,103.68
81.216,153.792 76.032,95.04
112.32,181.44 107.136,122.688
428.544,183.168 425.088,126.144
190.08,191.808 184.896,133.056
126.144,198.72 120.96,141.696
355.968,200.448 352.512,143.078
188.352,174.528 183.168,117.504
207.36,122.688 203.213,64.2816
228.096,120.96 224.64,62.208
107.136,114.048 101.952,55.296
399.168,139.968 395.712,82.944
203.904,235.008 200.448,177.984
297.216,236.736 293.76,179.712
269.568,236.736 264.384,179.712
293.76,357.696 290.304,304.128
406.08,393.984 400.896,340.416
414.72,397.44 410.573,342.144
107.136,371.52 101.952,316.224
473.472,172.8 470.016,115.776
143.424,368.064 138.24,312.768
350.784,196.992 347.328,141.696
442.368,393.984 438.912,340.416
330.048,345.6 326.592,290.304
466.56,359.424 463.104,305.856
283.392,139.968 279.936,82.944
309.312,350.784 305.856,295.488
537.408,295.488 533.952,241.92
233.28,186.624 228.096,129.6
385.344,120.96 381.888,63.936
317.261,342.144 313.114,288.23
323.482,344.218 319.334,290.304
116.122,184.55 109.901,126.49
329.702,344.218 325.555,288.23
124.416,196.992 120.269,141.005
466.56,358.733 464.486,304.819
205.286,234.317 200.448,177.984
111.974,180.403 105.754,122.342
188.698,174.182 182.477,116.122
105.754,369.101 101.606,313.114
207.36,122.342 203.213,64.2816
201.139,250.906 196.992,192.845
296.525,234.317 292.378,178.33
470.707,172.109 468.634,116.122
427.162,182.477 425.503,124.416
103.68,364.954 97.4592,308.966
398.131,138.931 396.058,82.944
292.378,356.659 290.304,302.746
495.59,134.784 493.517,78.7968
408.499,147.226 404.352,91.2384
101.606,207.36 95.3856,149.299
537.062,294.451 534.989,240.538
80.8704,153.446 77.1379,94.5562
284.083,141.005 279.936,82.944
443.75,391.91 439.603,340.07
337.997,331.776 333.85,277.862
275.789,149.299 271.642,91.2384
350.438,196.992 346.291,141.005
298.598,311.04 294.451,257.126
467.804,360.806 465.316,306.063
256.297,216.484 251.32,159.253
111.974,179.159 106.998,121.928
82.1146,154.276 77.1379,94.5562
199.066,248.832 196.577,191.601
186.624,174.182 184.136,116.951
102.021,206.531 95.5515,152.285
298.598,311.04 293.622,256.297
106.998,365.783 102.021,311.04
201.554,241.367 196.577,184.136
121.928,211.507 116.951,154.276
298.598,233.902 293.622,176.671
204.042,233.902 199.066,176.671
325.97,343.388 320.993,288.645
293.622,355.83 291.134,301.087
151.788,355.83 146.811,298.598
124.416,196.577 119.439,139.346
236.39,199.066 231.414,141.834
82.1146,228.925 77.1379,171.694
427.991,181.647 425.503,124.416
258.785,228.925 253.809,171.694
435.456,179.159 432.968,122.425
276.204,149.299 271.227,92.0679
338.412,204.042 333.435,146.811
348.365,196.577 345.877,141.834
233.902,186.624 228.925,129.393
89.5795,139.346 82.1146,82.1146
482.734,139.346 480.246,82.1146
283.669,141.834 281.18,84.6029
200.061,238.879 197.075,182.145
101.523,206.033 95.5515,152.285
474.772,164.229 471.786,107.495
316.514,343.388 313.528,289.641
325.472,343.388 322.486,286.655
283.669,226.935 280.683,170.201
119.439,212.005 116.951,154.276
468.8,170.201 465.814,113.467
292.627,355.332 289.641,301.584
253.809,217.977 250.823,158.257
149.299,355.332 146.313,298.598
298.598,310.542 292.627,256.795
259.781,226.935 253.809,170.201
286.655,313.528 280.683,259.781
474.772,170.201 471.786,113.467
110.481,179.159 104.509,122.425
107.495,364.29 101.523,310.542
235.893,200.061 229.921,143.327
161.243,349.36 155.271,292.627
409.08,149.299 406.094,92.5655
349.36,197.075 345.877,141.834
236.49,204.241 232.907,146.91
315.32,347.569 311.737,290.238
326.07,340.402 322.486,286.655
333.236,326.07 326.07,272.322
293.821,311.737 286.655,254.406
197.075,254.406 193.492,193.492
297.404,232.907 293.821,175.576
283.071,229.324 279.488,171.993
257.989,229.324 254.406,171.993
254.406,218.574 247.24,161.243
118.245,211.408 114.662,154.077
326.07,204.241 322.486,150.494
236.49,186.325 229.324,128.995
422.815,175.576 419.232,118.245
469.397,171.993 465.814,114.662
197.075,218.574 193.492,161.243
268.739,232.907 261.572,175.576
